data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK
20120102;0.1095;3.4454;3.5229;0.4437;3.3799;2.6816;2.656;4.464;1.4161;3.6668;5.348;0.43;4.4786;0.1751;0.6006;2.8129;0.5759;0.5006
20120103;0.1091;3.4277;3.5345;0.4412;3.3786;2.6964;2.6621;4.4597;1.4155;3.6622;5.3394;0.4296;4.4601;0.1748;0.5998;2.8061;0.5765;0.5008
20120104;0.1091;3.432;3.5528;0.4418;3.3887;2.7084;2.6687;4.4753;1.4009;3.6714;5.3712;0.4262;4.4787;0.1738;0.6018;2.8147;0.5805;0.5037
20120105;0.1111;3.5081;3.602;0.4518;3.4449;2.7447;2.7145;4.5135;1.402;3.7037;5.4616;0.4361;4.5679;0.1742;0.607;2.8515;0.5874;0.5098
20120109;0.1106;3.515;3.5949;0.4526;3.4201;2.7599;2.7081;4.4902;1.4302;3.694;5.4269;0.436;4.5727;0.174;0.6038;2.8398;0.5854;0.5079
20120110;0.1109;3.5083;3.6206;0.4517;3.4429;2.7864;2.722;4.4883;1.4292;3.7015;5.4328;0.4364;4.5659;0.1738;0.6035;2.8372;0.5853;0.5085
20120111;0.1102;3.4919;3.6053;0.4495;3.443;2.7801;2.7042;4.4645;1.4358;3.6807;5.4027;0.4342;4.5396;0.1733;0.6003;2.8169;0.5834;0.5068
20120112;0.1099;3.4945;3.6083;0.4497;3.4357;2.7832;2.7029;4.4532;1.4361;3.6756;5.3576;0.4357;4.5397;0.1733;0.5988;2.8023;0.5801;0.5038
20120113;0.1082;3.4323;3.5555;0.4419;3.3747;2.7283;2.6646;4.404;1.424;3.6376;5.2711;0.4267;4.4752;0.1724;0.5922;2.7655;0.5717;0.4956
20120116;0.1092;3.4798;3.5851;0.4483;3.4104;2.7622;2.6937;4.4056;1.42;3.6443;5.3324;0.4323;4.5306;0.1721;0.5925;2.772;0.5742;0.497
20120117;0.1078;3.4215;3.5693;0.44;3.3788;2.7427;2.6645;4.3708;1.4063;3.6136;5.2584;0.4253;4.4607;0.1709;0.5878;2.742;0.5701;0.4944
20120118;0.107;3.4;3.5311;0.4379;3.352;2.7306;2.654;4.3491;1.4183;3.5959;5.2241;0.4227;4.4288;0.1703;0.5849;2.725;0.5655;0.4934
20120119;0.1064;3.3678;3.5011;0.4342;3.3339;2.6974;2.6382;4.3391;1.4339;3.5912;5.1996;0.4188;4.3894;0.1704;0.5835;2.713;0.5656;0.4936
20120120;0.1063;3.3537;3.4835;0.432;3.3036;2.6851;2.6268;4.326;1.4181;3.5819;5.1839;0.4161;4.3442;0.1705;0.5818;2.7006;0.5646;0.4931
20120123;0.1062;3.3353;3.5033;0.4297;3.2934;2.6954;2.628;4.3111;1.42;3.5707;5.1872;0.4153;4.331;0.1694;0.5798;2.6891;0.5612;0.4905
20120124;0.1049;3.297;3.4508;0.4247;3.2615;2.6641;2.5942;4.2885;1.4234;3.5545;5.1224;0.4096;4.264;0.1692;0.5767;2.67;0.5616;0.4878
20120125;0.1046;3.299;3.459;0.4251;3.2568;2.6649;2.5992;4.2855;1.4352;3.5453;5.1385;0.4101;4.2234;0.1693;0.5764;2.6626;0.5578;0.4849
20120126;0.103;3.2233;3.4396;0.4154;3.222;2.649;2.5661;4.2431;1.4427;3.5147;5.0588;0.4025;4.1607;0.1687;0.5708;2.6267;0.5536;0.4777
20120127;0.1031;3.2163;3.4265;0.4147;3.2131;2.6507;2.5622;4.2223;1.4349;3.4966;5.0551;0.4003;4.1801;0.1679;0.568;2.6112;0.5516;0.4748
20120130;0.1041;3.2433;3.4193;0.418;3.226;2.6504;2.5737;4.2589;1.4399;3.5335;5.0816;0.4032;4.2278;0.1688;0.5728;2.6319;0.5546;0.478
20120131;0.1037;3.2032;3.4193;0.413;3.2083;2.6571;2.5595;4.227;1.441;3.5054;5.0496;0.4002;4.1995;0.168;0.5686;2.6093;0.552;0.4754
20120201;0.1029;3.1913;3.4068;0.4114;3.1917;2.6459;2.546;4.1933;1.4285;3.4824;5.0285;0.3972;4.1935;0.1663;0.5641;2.5899;0.5483;0.473
20120202;0.1033;3.1955;3.4219;0.412;3.1973;2.6617;2.564;4.1995;1.4352;3.4861;5.059;0.3974;4.201;0.1669;0.5649;2.5955;0.549;0.4739
20120203;0.1032;3.1848;3.4116;0.4106;3.1875;2.6517;2.556;4.1932;1.4399;3.4784;5.0469;0.3961;4.1792;0.1674;0.5641;2.5927;0.5476;0.4737
20120206;0.1038;3.2084;3.4315;0.4137;3.2163;2.6635;2.5683;4.1837;1.4276;3.4695;5.0494;0.3992;4.1831;0.1671;0.5628;2.5891;0.5499;0.4751
20120207;0.1029;3.1806;3.4333;0.4101;3.194;2.6601;2.552;4.1818;1.4337;3.4633;5.0338;0.3961;4.1439;0.1677;0.5625;2.583;0.548;0.4736
20120208;0.1023;3.1461;3.4085;0.4058;3.1632;2.6376;2.5295;4.171;1.4419;3.4431;5.006;0.3913;4.0816;0.1679;0.5611;2.5747;0.5457;0.4718
20120209;0.1025;3.1487;3.4018;0.4059;3.1631;2.6327;2.5272;4.1769;1.4354;3.4507;4.9879;0.3924;4.0792;0.1683;0.562;2.5775;0.5477;0.4734
20120210;0.103;3.1703;3.3908;0.4087;3.1766;2.6295;2.5228;4.2048;1.4378;3.4752;5.0216;0.3949;4.0807;0.1673;0.5657;2.5963;0.5513;0.477
20120213;0.1028;3.1643;3.4039;0.408;3.1685;2.646;2.5241;4.1948;1.4412;3.4692;4.9968;0.3939;4.072;0.1673;0.5644;2.5896;0.5531;0.4763
20120214;0.1031;3.1801;3.4015;0.41;3.1803;2.6443;2.5127;4.1935;1.4388;3.4701;5.0054;0.3964;4.0708;0.167;0.5641;2.5911;0.5555;0.4772
20120215;0.1029;3.166;3.4091;0.4083;3.1823;2.6643;2.515;4.1695;1.4377;3.4523;4.9669;0.3942;4.0326;0.166;0.5609;2.5757;0.5539;0.4754
20120216;0.1054;3.2502;3.4667;0.4191;3.2378;2.6847;2.5611;4.2276;1.4392;3.5027;5.0953;0.4049;4.1255;0.1674;0.5688;2.618;0.5598;0.4804
20120217;0.1033;3.179;3.427;0.41;3.1944;2.6615;2.5263;4.184;1.4423;3.4654;5.0416;0.3962;4.0244;0.1673;0.5629;2.5779;0.5575;0.4739
20120220;0.1027;3.1598;3.4008;0.4075;3.182;2.654;2.5212;4.1775;1.4496;3.4565;5.0114;0.394;3.9727;0.1676;0.562;2.57;0.5571;0.4736
20120221;0.1026;3.1488;3.3619;0.4061;3.1638;2.6312;2.5069;4.1735;1.4558;3.4547;4.9913;0.3925;3.9449;0.1677;0.5613;2.5518;0.5551;0.4739
20120222;0.1036;3.1635;3.3697;0.408;3.17;2.6334;2.5122;4.1857;1.4577;3.4663;4.9682;0.3949;3.9456;0.1676;0.5629;2.5525;0.5581;0.4756
20120223;0.1033;3.138;3.3581;0.4046;3.1472;2.6153;2.5005;4.181;1.4514;3.4676;4.9325;0.392;3.9196;0.1668;0.5622;2.5291;0.5601;0.4743
20120224;0.1026;3.1103;3.3383;0.4011;3.118;2.6077;2.4779;4.1654;1.4423;3.4543;4.9167;0.3885;3.861;0.1666;0.5602;2.5139;0.556;0.4715
20120227;0.1023;3.1176;3.3249;0.4019;3.1049;2.598;2.4731;4.1845;1.432;3.473;4.9415;0.3896;3.8661;0.1668;0.5627;2.5029;0.5574;0.4737
20120228;0.102;3.0977;3.3348;0.3995;3.1102;2.5991;2.4736;4.163;1.4336;3.4535;4.913;0.3873;3.8367;0.1663;0.5598;2.485;0.5554;0.4716
20120229;0.1015;3.073;3.3236;0.3962;3.0966;2.5903;2.4657;4.1365;1.4274;3.4318;4.8973;0.3839;3.8133;0.1661;0.5563;2.4692;0.5544;0.4687
20120301;0.1013;3.0887;3.3236;0.3982;3.1262;2.5816;2.4724;4.1198;1.431;3.4178;4.9186;0.385;3.8074;0.1656;0.5541;2.4662;0.5539;0.467
20120302;0.1015;3.1023;3.3419;0.3997;3.1408;2.5872;2.4822;4.1125;1.4295;3.4119;4.9423;0.3863;3.8049;0.1662;0.5531;2.4675;0.5542;0.466
20120305;0.1023;3.1355;3.3506;0.4039;3.1542;2.5827;2.4928;4.1345;1.4179;3.429;4.9559;0.3908;3.8595;0.1666;0.5561;2.4805;0.5568;0.4681
20120306;0.1026;3.1557;3.3447;0.4062;3.1574;2.5696;2.4979;4.157;1.4134;3.4472;4.9787;0.3924;3.896;0.167;0.5592;2.4944;0.5582;0.4682
20120307;0.1029;3.1631;3.3432;0.4075;3.1628;2.5875;2.5098;4.1578;1.4128;3.4492;4.9788;0.3938;3.9164;0.1672;0.5592;2.5246;0.5572;0.4664
20120308;0.1023;3.122;3.3223;0.4024;3.137;2.5742;2.4909;4.1255;1.4073;3.4224;4.9395;0.3909;3.8346;0.1666;0.5549;2.4965;0.5552;0.4624
20120309;0.1018;3.1126;3.3068;0.4012;3.139;2.5649;2.4824;4.1143;1.3998;3.4125;4.9053;0.3898;3.8083;0.1661;0.5534;2.483;0.5535;0.463
20120312;0.1021;3.1285;3.295;0.4033;3.1597;2.5589;2.4823;4.1062;1.4037;3.4055;4.9047;0.3895;3.805;0.1669;0.5523;2.4766;0.5492;0.4606
20120313;0.1022;3.1288;3.2976;0.4032;3.1604;2.5728;2.4866;4.1132;1.4002;3.4103;4.9028;0.3901;3.791;0.1675;0.5532;2.4713;0.5518;0.4615
20120314;0.1031;3.1699;3.323;0.4084;3.1929;2.5815;2.506;4.1395;1.4196;3.4195;4.9781;0.3953;3.8008;0.1682;0.5568;2.4884;0.5536;0.4666
20120315;0.1032;3.1723;3.3256;0.4088;3.1962;2.5793;2.5065;4.142;1.4213;3.421;4.9697;0.3955;3.7884;0.1681;0.5571;2.4874;0.5469;0.4645
20120316;0.1031;3.1688;3.334;0.4081;3.1909;2.5921;2.5095;4.1367;1.4138;3.426;4.981;0.3947;3.7849;0.1685;0.5564;2.4867;0.5477;0.4657
20120319;0.1022;3.1361;3.3197;0.4039;3.1594;2.5872;2.4916;4.127;1.4221;3.4205;4.9657;0.3911;3.776;0.1685;0.555;2.4776;0.5458;0.4643
20120320;0.1018;3.1288;3.2855;0.4029;3.156;2.5591;2.4759;4.1282;1.422;3.4221;4.9642;0.3899;3.7368;0.1686;0.5552;2.479;0.5438;0.4634
20120321;0.1014;3.1173;3.271;0.4016;3.1524;2.5537;2.4713;4.1364;1.425;3.4306;4.9443;0.3889;3.7186;0.1688;0.5563;2.4813;0.5432;0.4646
20120322;0.103;3.168;3.286;0.4083;3.1842;2.5619;2.5017;4.1694;1.4196;3.4588;5.0065;0.3953;3.8265;0.1684;0.5607;2.5054;0.547;0.4678
20120323;0.1021;3.1417;3.2716;0.4045;3.1419;2.5576;2.4879;4.1649;1.4188;3.4548;4.9837;0.3919;3.8011;0.1683;0.5601;2.4925;0.5457;0.4662
20120326;0.1019;3.1348;3.2747;0.4035;3.1381;2.5571;2.4827;4.1409;1.4126;3.436;4.9592;0.3907;3.7858;0.1678;0.5569;2.4744;0.5434;0.4635
20120327;0.1008;3.0939;3.2604;0.3983;3.1226;2.552;2.4649;4.13;1.4211;3.4236;4.9434;0.3861;3.7357;0.1677;0.5554;2.4473;0.5446;0.4643
20120328;0.1011;3.11;3.2381;0.4005;3.1185;2.5491;2.4741;4.1503;1.4207;3.4415;4.9497;0.388;3.7515;0.1688;0.5582;2.455;0.5467;0.4679
20120329;0.1013;3.1234;3.237;0.4024;3.1262;2.551;2.4838;4.16;1.4196;3.451;4.971;0.3896;3.7882;0.1684;0.5594;2.4623;0.5455;0.4706
20120330;0.1013;3.1191;3.2448;0.4018;3.128;2.5608;2.4793;4.1616;1.4077;3.454;4.9908;0.3889;3.7979;0.1678;0.5595;2.4658;0.5479;0.4707
20120402;0.1007;3.1017;3.2216;0.3994;3.1093;2.5428;2.4726;4.1428;1.4096;3.4401;4.9793;0.3866;3.7483;0.1673;0.5568;2.4548;0.5465;0.4694
20120403;0.1006;3.099;3.216;0.3991;3.1263;2.5474;2.477;4.1327;1.404;3.4335;4.9669;0.3865;3.778;0.1674;0.5554;2.4509;0.5467;0.4703
20120404;0.1016;3.1503;3.2298;0.4057;3.1696;2.5617;2.5009;4.1495;1.4063;3.4449;5.0057;0.3927;3.812;0.1688;0.5577;2.4736;0.548;0.4715
20120405;0.1023;3.1678;3.2585;0.4079;3.1754;2.5834;2.5155;4.1544;1.4019;3.4526;5.0271;0.3934;3.8543;0.1685;0.5584;2.4814;0.5484;0.4719
20120406;0.1026;3.1814;3.2814;0.4096;3.2052;2.6008;2.5258;4.1565;1.4067;3.4584;5.0418;0.3961;3.8588;0.1689;0.5586;2.4861;0.5495;0.4715
20120410;0.1031;3.1904;3.2805;0.4108;3.1928;2.6089;2.5301;4.1756;1.4102;3.4732;5.0592;0.398;3.9272;0.1684;0.5613;2.4947;0.55;0.4707
20120411;0.1038;3.2034;3.2922;0.4125;3.1906;2.614;2.5421;4.2008;1.4038;3.4966;5.091;0.3996;3.9739;0.169;0.5648;2.5133;0.5533;0.4721
20120412;0.1032;3.1818;3.3043;0.4098;3.1802;2.6114;2.5345;4.174;1.4037;3.4728;5.0698;0.3969;3.9246;0.1683;0.5611;2.4979;0.5489;0.4687
20120413;0.1033;3.1765;3.2971;0.4092;3.1878;2.631;2.5466;4.1779;1.4053;3.4765;5.058;0.3965;3.9248;0.1689;0.5617;2.4996;0.5491;0.4694
20120416;0.1048;3.2289;3.3391;0.4162;3.2292;2.6484;2.5788;4.2028;1.4057;3.494;5.1148;0.3982;4.0025;0.1693;0.565;2.5227;0.5552;0.473
20120417;0.1036;3.1872;3.2979;0.4106;3.1913;2.6067;2.546;4.19;1.4056;3.4872;5.0862;0.3977;3.9487;0.1689;0.5632;2.5118;0.5544;0.4713
20120418;0.1036;3.1902;3.308;0.4112;3.2242;2.6144;2.5501;4.176;1.4056;3.4738;5.0995;0.3983;3.9151;0.1686;0.5614;2.5071;0.5546;0.4716
20120419;0.1033;3.1879;3.3071;0.4107;3.2234;2.6095;2.5478;4.1865;1.4063;3.4837;5.1183;0.3977;3.9113;0.1685;0.5628;2.5122;0.5552;0.4735
20120420;0.1029;3.1828;3.2869;0.4101;3.201;2.5912;2.545;4.1885;1.4117;3.4853;5.1242;0.3972;3.8961;0.1686;0.5631;2.5126;0.5553;0.4737
20120423;0.1031;3.1972;3.2919;0.4119;3.2108;2.596;2.56;4.2033;1.4086;3.4991;5.1457;0.3989;3.944;0.1678;0.5651;2.5253;0.5559;0.4747
20120424;0.1033;3.1946;3.2839;0.4116;3.225;2.5969;2.5606;4.2059;1.4096;3.4992;5.1552;0.3986;3.9368;0.168;0.5653;2.5259;0.5571;0.4741
20120425;0.1024;3.1675;3.2754;0.4083;3.2135;2.576;2.5435;4.187;1.4332;3.4841;5.0952;0.3952;3.9018;0.1681;0.5627;2.5128;0.5534;0.4712
20120426;0.1023;3.1599;3.279;0.4073;3.2176;2.5844;2.545;4.1825;1.456;3.4809;5.1171;0.3942;3.8952;0.1689;0.5622;2.5113;0.5526;0.4714
20120427;0.103;3.1666;3.2914;0.408;3.2179;2.5795;2.5505;4.182;1.454;3.482;5.1244;0.3951;3.9295;0.1686;0.5622;2.5154;0.5526;0.4706
20120430;0.1027;3.1509;3.2911;0.4061;3.2104;2.5871;2.5511;4.1721;1.4591;3.4731;5.1295;0.3927;3.9313;0.1683;0.5609;2.5089;0.5505;0.4682
20120502;0.1026;3.1593;3.2654;0.4073;3.2032;2.571;2.5488;4.16;1.4653;3.4625;5.1228;0.3916;3.9346;0.167;0.5593;2.5139;0.5496;0.4681
20120504;0.103;3.1891;3.2677;0.4109;3.2238;2.5472;2.5683;4.188;1.4698;3.4861;5.1557;0.3977;3.98;0.1676;0.5631;2.5718;0.5544;0.4704
20120507;0.1041;3.2279;3.2804;0.4158;3.2373;2.5617;2.5866;4.1991;1.4649;3.4959;5.2104;0.4028;4.0467;0.1675;0.5646;2.5817;0.5546;0.4709
20120508;0.1041;3.2238;3.2683;0.4153;3.2321;2.5449;2.5838;4.1949;1.4606;3.493;5.201;0.4021;4.0357;0.1673;0.5641;2.5799;0.5548;0.4717
20120509;0.1043;3.2412;3.2619;0.4176;3.234;2.5444;2.5924;4.2047;1.4584;3.5014;5.2297;0.4026;4.0686;0.1671;0.5655;2.5901;0.5547;0.4718
20120510;0.1052;3.2735;3.3053;0.4217;3.2668;2.576;2.6189;4.2379;1.4634;3.5286;5.2697;0.4083;4.1087;0.1679;0.5701;2.6053;0.5598;0.4741
20120511;0.1051;3.2765;3.2922;0.4221;3.2643;2.568;2.6203;4.2413;1.4657;3.5313;5.2838;0.4087;4.101;0.1682;0.5706;2.6076;0.5579;0.4712
20120514;0.1068;3.3422;3.33;0.4304;3.3262;2.5956;2.6557;4.3;1.4706;3.5808;5.3676;0.4168;4.1725;0.1697;0.5785;2.638;0.5654;0.4772
20120515;0.1073;3.3579;3.356;0.4325;3.353;2.606;2.6735;4.316;1.4766;3.5932;5.397;0.4188;4.2023;0.1698;0.5806;2.6498;0.5658;0.4776
20120516;0.1094;3.4353;3.4043;0.4428;3.4;2.6295;2.7077;4.3682;1.4765;3.6371;5.4815;0.4267;4.2752;0.1703;0.5876;2.69;0.5717;0.4785
20120517;0.1089;3.4194;3.3983;0.4402;3.3792;2.6176;2.7037;4.349;1.4684;3.621;5.4342;0.4245;4.2556;0.1706;0.5851;2.6766;0.574;0.4772
20120518;0.1099;3.4431;3.3897;0.4433;3.381;2.6088;2.7033;4.3683;1.4614;3.6371;5.4356;0.428;4.3407;0.1717;0.5877;2.6874;0.5744;0.4786
20120521;0.1085;3.3928;3.3421;0.4369;3.3275;2.5725;2.667;4.3322;1.4568;3.607;5.3656;0.4212;4.2718;0.1718;0.5828;2.6651;0.5686;0.4749
20120522;0.1079;3.3811;3.3483;0.4354;3.324;2.5826;2.6691;4.3205;1.4567;3.5973;5.3419;0.4197;4.247;0.1717;0.5813;2.6612;0.5701;0.4752
20120523;0.1095;3.446;3.3574;0.4436;3.3705;2.5769;2.6959;4.3576;1.4428;3.6285;5.4122;0.4272;4.3379;0.1715;0.5864;2.6927;0.5748;0.4802
20120524;0.11;3.4779;3.384;0.448;3.3857;2.6085;2.7217;4.3665;1.4515;3.6357;5.4496;0.4307;4.3794;0.1716;0.5876;2.6932;0.5798;0.4851
20120525;0.1092;3.4589;3.383;0.4455;3.3716;2.6164;2.7039;4.351;1.4522;3.6206;5.4178;0.4276;4.346;0.1715;0.5855;2.6815;0.5755;0.4838
20120528;0.1094;3.4535;3.4045;0.445;3.3709;2.6321;2.7064;4.3442;1.4551;3.6126;5.417;0.427;4.3512;0.1716;0.5846;2.6684;0.5762;0.4827
20120529;0.1096;3.4675;3.4204;0.4466;3.3875;2.6412;2.7176;4.3511;1.4554;3.6203;5.4419;0.4286;4.3607;0.1712;0.5855;2.6756;0.5778;0.4849
20120530;0.1103;3.5139;3.4314;0.4527;3.4224;2.6673;2.7433;4.3731;1.4636;3.6411;5.4701;0.4307;4.43;0.1708;0.5885;2.6943;0.5812;0.4867
20120531;0.1112;3.5372;3.4451;0.4555;3.4425;2.6752;2.7529;4.3889;1.461;3.6545;5.4858;0.4383;4.4833;0.1708;0.5905;2.7084;0.5839;0.4888
20120601;0.1123;3.5777;3.4557;0.461;3.4442;2.6807;2.7705;4.4126;1.4508;3.6743;5.4686;0.442;4.5731;0.171;0.5938;2.7307;0.5831;0.4901
20120604;0.1124;3.5431;3.426;0.4566;3.4001;2.6711;2.7477;4.4007;1.4462;3.6651;5.4417;0.4408;4.5401;0.1705;0.5922;2.7253;0.5782;0.4884
20120605;0.1118;3.5359;3.4419;0.4557;3.3986;2.6667;2.7439;4.3922;1.4492;3.657;5.4208;0.44;4.5213;0.1709;0.5911;2.7235;0.5781;0.4896
20120606;0.1106;3.4703;3.4212;0.4479;3.3622;2.6502;2.7145;4.3423;1.4473;3.6159;5.3662;0.4314;4.3855;0.1702;0.5843;2.6887;0.5714;0.4829
20120608;0.1089;3.4566;3.3979;0.4456;3.343;2.6384;2.6868;4.3078;1.4463;3.587;5.3285;0.4259;4.3643;0.1686;0.5796;2.6696;0.567;0.4794
20120611;0.108;3.4072;3.3967;0.4393;3.3283;2.6427;2.6655;4.2922;1.4555;3.5734;5.302;0.4217;4.2841;0.169;0.5775;2.6465;0.567;0.4821
20120612;0.1092;3.4552;3.426;0.4455;3.3564;2.6755;2.6918;4.3222;1.4558;3.5987;5.3552;0.4268;4.3398;0.169;0.5815;2.6688;0.5732;0.4881
20120613;0.1095;3.4591;3.4443;0.4458;3.369;2.6925;2.7011;4.331;1.4575;3.6057;5.3861;0.4254;4.3451;0.1691;0.5828;2.6735;0.5749;0.4897
20120614;0.1092;3.442;3.4168;0.4437;3.346;2.6718;2.6815;4.3207;1.4533;3.5977;5.3289;0.4234;4.3394;0.1692;0.5815;2.6835;0.5745;0.4888
20120615;0.1077;3.3971;3.4096;0.4378;3.323;2.6705;2.6666;4.2925;1.4508;3.574;5.2772;0.4201;4.3039;0.1683;0.5776;2.6798;0.5718;0.486
20120618;0.1073;3.3741;3.4054;0.4348;3.2924;2.6703;2.6546;4.268;1.4589;3.5536;5.293;0.4175;4.2665;0.1676;0.5743;2.696;0.5664;0.4827
20120619;0.1081;3.3916;3.4369;0.4372;3.3164;2.6923;2.6756;4.2733;1.4757;3.5586;5.3032;0.4204;4.298;0.1672;0.5749;2.7043;0.5683;0.4829
20120620;0.1064;3.3471;3.4129;0.4314;3.29;2.6658;2.6415;4.2503;1.4779;3.5397;5.2642;0.4149;4.2399;0.1671;0.5718;2.6872;0.5653;0.4806
20120621;0.1061;3.3617;3.416;0.4332;3.2904;2.6826;2.6445;4.2585;1.4926;3.5459;5.2789;0.4165;4.2165;0.1665;0.5729;2.689;0.5674;0.4821
20120622;0.1072;3.4025;3.4115;0.4385;3.3106;2.6778;2.6644;4.271;1.4866;3.5564;5.3158;0.4209;4.2348;0.1659;0.5745;2.7015;0.5712;0.4852
20120625;0.1073;3.4105;3.4178;0.4395;3.3226;2.6883;2.6618;4.2645;1.4831;3.5511;5.3081;0.4223;4.2592;0.1656;0.5737;2.6989;0.5694;0.4843
20120626;0.1073;3.4088;3.4202;0.4394;3.3181;2.6982;2.6599;4.258;1.4845;3.5463;5.3198;0.4217;4.2967;0.1646;0.5728;2.6966;0.5672;0.4825
20120627;0.1067;3.4015;3.4185;0.4384;3.3163;2.6844;2.6603;4.25;1.4869;3.5387;5.3122;0.421;4.275;0.1637;0.5717;2.6915;0.5652;0.481
20120628;0.1081;3.4408;3.4664;0.4435;3.3506;2.7263;2.6913;4.276;1.4863;3.5605;5.349;0.4236;4.3391;0.1654;0.5752;2.7123;0.5669;0.4856
20120629;0.1067;3.3885;3.4464;0.4368;3.3051;2.7053;2.6684;4.2613;1.4784;3.5477;5.2896;0.4221;4.2613;0.1664;0.5733;2.6904;0.5655;0.4856
20120702;0.1059;3.3456;3.4312;0.4313;3.2889;2.6873;2.6426;4.2308;1.481;3.5217;5.2446;0.4148;4.1999;0.1663;0.569;2.6764;0.5602;0.4832
20120703;0.1063;3.3427;3.4296;0.4311;3.2945;2.6853;2.6478;4.211;1.4786;3.5052;5.2451;0.4131;4.189;0.1649;0.5664;2.666;0.5598;0.4827
20120704;0.1062;3.3415;3.4336;0.4309;3.2993;2.6864;2.6432;4.2046;1.4754;3.5005;5.229;0.4131;4.187;0.1648;0.5655;2.6553;0.5593;0.4824
20120705;0.1071;3.3743;3.4666;0.4352;3.3314;2.7111;2.6665;4.2221;1.4716;3.5142;5.2573;0.4173;4.2367;0.1651;0.5677;2.6562;0.5629;0.4875
20120706;0.1076;3.4057;3.4963;0.4393;3.3542;2.7337;2.6862;4.2178;1.4717;3.5119;5.2914;0.4213;4.2645;0.1647;0.5668;2.6613;0.5622;0.4888
20120709;0.1086;3.4538;3.5067;0.4454;3.3829;2.7404;2.7129;4.2401;1.4658;3.5305;5.3442;0.4267;4.3373;0.1653;0.57;2.6869;0.5645;0.4908
20120710;0.1078;3.4145;3.4912;0.4403;3.3516;2.7208;2.6936;4.2041;1.4637;3.5004;5.3045;0.4223;4.3062;0.1653;0.5652;2.6646;0.5613;0.4891
20120711;0.1072;3.4007;3.4876;0.4386;3.3351;2.7135;2.6894;4.1801;1.4531;3.4807;5.2913;0.4212;4.2906;0.1648;0.5621;2.6539;0.5586;0.4884
20120712;0.1083;3.4383;3.4892;0.4434;3.3633;2.7138;2.7071;4.2008;1.4527;3.4979;5.3175;0.4248;4.3356;0.1654;0.5649;2.6714;0.5621;0.4901
20120713;0.1088;3.4463;3.5041;0.4442;3.3902;2.7316;2.7162;4.2055;1.4501;3.5018;5.3217;0.4263;4.3479;0.1656;0.5654;2.671;0.5653;0.4907
20120716;0.1087;3.4353;3.51;0.443;3.3855;2.7321;2.7144;4.1939;1.4527;3.4924;5.3381;0.4239;4.3458;0.165;0.5638;2.6662;0.562;0.4865
20120717;0.1078;3.3973;3.4955;0.438;3.347;2.714;2.6923;4.1782;1.453;3.4791;5.3077;0.4199;4.2961;0.1647;0.5615;2.6794;0.5591;0.4847
20120718;0.1073;3.395;3.5004;0.4377;3.352;2.6998;2.6952;4.1705;1.4592;3.473;5.305;0.4214;4.2948;0.165;0.5605;2.6842;0.5576;0.4876
20120719;0.107;3.39;3.5267;0.437;3.354;2.719;2.6962;4.1596;1.4616;3.463;5.3049;0.4194;4.3109;0.1643;0.5592;2.6967;0.5555;0.489
20120720;0.1073;3.3961;3.5385;0.4378;3.3698;2.7282;2.7076;4.1629;1.4617;3.4662;5.3299;0.4204;4.3208;0.1637;0.5596;2.7246;0.5607;0.4899
20120723;0.1088;3.4529;3.5531;0.4451;3.3996;2.7322;2.7419;4.18;1.4521;3.4809;5.3665;0.4273;4.4235;0.1634;0.5619;2.7697;0.568;0.4948
20120724;0.1093;3.4678;3.5696;0.4471;3.4024;2.745;2.7541;4.2011;1.4597;3.499;5.3798;0.429;4.4336;0.1642;0.5648;2.7838;0.5693;0.4991
20120725;0.1095;3.4719;3.5628;0.4474;3.4051;2.7267;2.756;4.2087;1.4551;3.5043;5.3727;0.4294;4.436;0.1649;0.5658;2.7891;0.5706;0.4984
20120726;0.1091;3.4523;3.5615;0.4451;3.3985;2.7306;2.7493;4.1853;1.4558;3.4847;5.3445;0.4269;4.4174;0.164;0.5627;2.7736;0.5676;0.4955
20120727;0.1072;3.3843;3.5229;0.4363;3.3501;2.7132;2.7009;4.1459;1.4575;3.4523;5.3088;0.4175;4.3315;0.1632;0.5573;2.7584;0.5602;0.4913
20120730;0.107;3.378;3.5328;0.4354;3.3595;2.7283;2.7053;4.1411;1.47;3.4475;5.2962;0.4173;4.3188;0.1634;0.5567;2.7746;0.5553;0.4932
20120731;0.1064;3.3508;3.5228;0.4321;3.3466;2.7129;2.6926;4.1086;1.4743;3.4206;5.2567;0.4134;4.2836;0.1623;0.5523;2.7665;0.5542;0.4918
20120801;0.1061;3.342;3.52;0.431;3.3381;2.7184;2.6851;4.1147;1.4672;3.4253;5.2283;0.4122;4.2779;0.1624;0.553;2.7721;0.5556;0.4937
20120802;0.1061;3.3462;3.5122;0.4315;3.3309;2.7137;2.6834;4.1063;1.4626;3.4161;5.1975;0.4129;4.2696;0.1625;0.5518;2.7713;0.5565;0.4943
20120803;0.1063;3.3548;3.5251;0.4326;3.3434;2.7338;2.6905;4.0967;1.4699;3.4108;5.2137;0.4135;4.2891;0.162;0.5505;2.7709;0.5555;0.494
20120806;0.1039;3.2752;3.4564;0.4223;3.2746;2.6779;2.6369;4.0486;1.4631;3.3709;5.1016;0.4036;4.1786;0.1605;0.544;2.7333;0.5472;0.4852
